,name,nick_name,fight_record,height,weight,reach,stance,DOB
0,Yukiya Naito,,15-6-2,"6' 1""",205 lbs.,--,Orthodox,--
1,Jamie Varner,,21-11-1 (2 NC),"5' 8""",155 lbs.,"72""",Orthodox,"Oct 12, 1984"
2,Chris Yee,,4-6-0,"5' 9""",185 lbs.,--,,--
3,Yasuhiro Urushitani,,19-6-6,"5' 5""",125 lbs.,--,Southpaw,"Sep 08, 1976"
4,Donny Walker,Eagle Eye,15-8-0,"5' 9""",135 lbs.,--,,"Jan 04, 1980"
5,Andy Wang,,7-8-1 (1 NC),"5' 6""",155 lbs.,--,Orthodox,"May 28, 1977"
6,Atsushi Yamamoto,,15-7-3,"5' 6""",139 lbs.,--,Orthodox,"Oct 02, 1980"
7,Nate Quarry,Rock,12-4-0,"6' 0""",185 lbs.,"72""",Open Stance,"Mar 18, 1972"
8,Abdul-Kerim Edilov,,17-4-0,"6' 2""",205 lbs.,"78""",Orthodox,"Nov 25, 1991"
9,Yusuke Imamura,,2-6-0,"5' 8""",220 lbs.,--,Orthodox,--
10,Augusto Sakai,,12-1-1,"6' 4""",265 lbs.,--,Orthodox,"May 09, 1991"
11,Dongi Yang,The Ox,13-3-0,"5' 10""",185 lbs.,"71""",Southpaw,"Dec 07, 1984"
12,Al Iaquinta,Raging,14-4-1,"5' 9""",155 lbs.,"70""",Orthodox,"Apr 30, 1987"
13,Sarah D'alelio,The Monster,4-2-0,"5' 7""",145 lbs.,--,,"Dec 13, 1980"
14,Jeremy Wallace,,4-5-0,"5' 9""",--,--,,--
15,Cody Garbrandt,No Love,11-2-0,"5' 8""",135 lbs.,"65""",Orthodox,"Jul 07, 1991"
16,Maycee Barber,The Future,6-0-0,"5' 5""",115 lbs.,"65""",Switch,"May 18, 1998"
17,Sheila Gaff,The German Tank,10-6-1,"5' 5""",135 lbs.,"62""",Orthodox,"Dec 29, 1989"
18,Aisling Daly,Ais the Bash,16-6-0,"5' 2""",115 lbs.,"64""",,"Dec 24, 1987"
19,Ricardo Ramos,,12-2-0,"5' 9""",135 lbs.,"72""",Orthodox,"Aug 01, 1995"
20,Sergey Ignatov,,0-1-0,"5' 9""",210 lbs.,--,Orthodox,--
21,Dave Jansen,,15-3-0,"5' 9""",155 lbs.,"73""",Orthodox,"Aug 21, 1979"
22,Kelly Faszholz,,3-2-0,"5' 8""",135 lbs.,"67""",Orthodox,"Apr 09, 1985"
23,Dave Zitanick,,5-7-0 (1 NC),--,170 lbs.,--,,"Mar 05, 1980"
24,Rodney Faverus,,25-19-3 (1 NC),"6' 0""",215 lbs.,--,Southpaw,--
25,Justin Eilers,The Hammer,19-7-1,"6' 1""",235 lbs.,--,Orthodox,"Jun 28, 1978"
26,Mark Hall,,5-6-0,"6' 0""",190 lbs.,--,Orthodox,--
27,Kevin Jackson,,4-2-0,"5' 10""",199 lbs.,--,Switch,--
28,Gokhan Saki,The Rebel,1-2-0,"6' 0""",205 lbs.,"73""",Orthodox,"Oct 19, 1983"
29,Manny Vazquez,,11-2-0,"5' 10""",125 lbs.,"72""",Orthodox,"Nov 19, 1993"
30,Joe Taimanglo,The Juggernaut,23-7-1,"5' 4""",135 lbs.,--,,"Jun 27, 1984"
31,Gilbert Rael,,1-3-0,"5' 8""",155 lbs.,--,,--
32,Ben Lagman,Bad News,6-2-0,"6' 2""",185 lbs.,--,,"Sep 04, 1986"
33,Daiju Takase,,9-13-2,"6' 0""",170 lbs.,--,Southpaw,"Apr 20, 1978"
34,Ed Ratcliff,9mm,7-3-0,"5' 10""",155 lbs.,"71""",Orthodox,"Mar 05, 1983"
35,Chris Inman,,1-0-0,--,--,--,,--
36,Bart Palaszewski,Bartimus,35-17-0,"5' 9""",145 lbs.,"70""",Orthodox,"May 30, 1983"
37,Zelg Galesic,Benkei,10-6-0,"6' 2""",185 lbs.,--,Orthodox,"Feb 16, 1979"
38,Martin Kampmann,The Hitman,20-7-0,"6' 0""",170 lbs.,"72""",Orthodox,"Apr 17, 1982"
39,An Ying Wang,Smiley,2-2-0,"6' 0""",170 lbs.,--,Orthodox,"Apr 04, 1991"
40,Michinori Tanaka,,11-3-0,"5' 5""",135 lbs.,"67""",Orthodox,"Oct 04, 1990"
41,Justin James,,13-7-0,"5' 10""",155 lbs.,--,Orthodox,"Nov 08, 1976"
42,Ryan LaFlare,,14-3-0,"6' 1""",170 lbs.,"74""",Southpaw,"Oct 01, 1983"
43,Kyung Ho Kang,Mr. Perfect,15-8-0 (1 NC),"5' 9""",135 lbs.,"73""",Orthodox,"Sep 09, 1987"
44,Masanori Kanehara,,25-13-5,"5' 7""",135 lbs.,"67""",Orthodox,"Nov 19, 1982"
45,Tulio Palhares,,2-14-0,--,180 lbs.,--,,--
46,Sarah Kaufman,,17-4-0 (1 NC),"5' 5""",135 lbs.,"67""",Orthodox,"Sep 20, 1985"
47,Josh Jarvis,,1-3-0,--,--,--,,--
48,Yoshihiro Nakao,Kiss,9-3-0 (2 NC),"6' 0""",220 lbs.,--,Southpaw,"Jun 25, 1972"
49,Hu Yaozong,Totoro,3-2-0,"6' 3""",205 lbs.,"72""",Orthodox,"Apr 07, 1995"
50,Yan Cabral,,12-3-0,"5' 11""",155 lbs.,"73""",Orthodox,"May 13, 1983"
51,Raoni Barcelos,,13-1-0,"5' 7""",135 lbs.,"67""",Orthodox,"May 01, 1987"
52,Bobby Nash,Nashty,8-4-0,"6' 0""",170 lbs.,"74""",Orthodox,"Mar 26, 1990"
53,Carlos Felipe,Boi,8-0-0,"6' 0""",245 lbs.,--,,"Jan 12, 1995"
54,Angela Magana,Your Majesty,11-9-0,"5' 1""",115 lbs.,"65""",,"Aug 02, 1983"
55,Leonard Garcia,Bad Boy,19-11-1,"5' 10""",145 lbs.,"69""",Orthodox,"Jul 14, 1979"
56,Stephen Banaszak,,5-5-0,"6' 0""",145 lbs.,--,,"Dec 07, 1990"
57,David Kaplan,Diamond,3-4-0,"5' 7""",155 lbs.,--,Orthodox,"Nov 16, 1979"
58,Gabriel Salinas-Jones,,5-2-1,"6' 1""",245 lbs.,--,,"Nov 20, 1984"
59,JJ Okanovich,The Bosnian Bomber,4-1-0,"5' 11""",155 lbs.,--,,--
60,Jon Olav Einemo,The Viking,6-3-0,"6' 6""",253 lbs.,--,Orthodox,"Dec 10, 1975"
61,Travis Calanoc,The Dark Knight,5-1-0,"5' 8""",145 lbs.,--,Orthodox,--
62,Dan Ige,Dynamite,10-2-0,"5' 7""",145 lbs.,"71""",Orthodox,"Aug 06, 1991"
63,Ricky Rainey,The Sniper,13-6-0,"6' 1""",170 lbs.,"77""",Switch,"Jun 29, 1983"
64,Brock Jardine,The Machine,9-3-0,"5' 11""",170 lbs.,"73""",Orthodox,"Jul 10, 1985"
65,Muslim Salikhov,King of Kung Fu,14-2-0,"5' 11""",170 lbs.,"70""",Orthodox,"Jun 09, 1984"
66,Patrick Kaase,Kamikaze,1-2-0,"5' 9""",185 lbs.,--,,--
67,Thomas Campbell,,2-1-0,--,--,--,,--
68,Guto Inocente,,6-4-0,"6' 3""",205 lbs.,"77""",Orthodox,"May 29, 1986"
69,Veronica Macedo,,5-2-1,"5' 4""",125 lbs.,"64""",Southpaw,"Oct 30, 1995"
70,Yan Xiaonan,Nine,10-1-0 (1 NC),"5' 5""",115 lbs.,"63""",Orthodox,"Jun 16, 1989"
71,Davi Ramos,Tasmanian Devil,9-2-0,"5' 6""",155 lbs.,"70""",Orthodox,"Nov 05, 1986"
72,Gary Quan,,3-5-0,"5' 8""",143 lbs.,--,,"Apr 11, 1971"
73,Yukio Sakaguchi,,6-6-0,"5' 9""",185 lbs.,--,Orthodox,"Jul 26, 1973"
74,Ilima Macfarlane,,6-0-0,"5' 4""",125 lbs.,--,,--
75,Ricardo Lamas,The Bully,19-7-0,"5' 8""",145 lbs.,"71""",Orthodox,"May 21, 1982"
76,John Campetella,,0-1-0,"5' 9""",235 lbs.,--,Orthodox,--
77,Beneil Dariush,,15-4-1,"5' 10""",155 lbs.,"72""",Southpaw,"May 06, 1989"
78,Dustin Jacoby,,6-3-0,"6' 4""",185 lbs.,"78""",Orthodox,"Apr 04, 1988"
79,Taylor Lapilus,Double Impact,11-2-0,"5' 6""",135 lbs.,"73""",Southpaw,"Apr 08, 1992"
80,Nick Urso,,10-3-0 (1 NC),"5' 6""",125 lbs.,"66""",Southpaw,"Sep 26, 1985"
81,Frankie Saenz,,13-5-0,"5' 6""",135 lbs.,"66""",Orthodox,"Aug 12, 1980"
82,Carlos Zevallos,,1-1-0,"6' 0""",205 lbs.,--,Orthodox,--
83,Jeremy Hamilton,Hawk,8-1-0,--,185 lbs.,--,,"Nov 14, 1984"
84,Lorenz Larkin,The Monsoon,18-5-0 (1 NC),"5' 11""",170 lbs.,"72""",Orthodox,"Sep 03, 1986"
85,TJ Waldburger,The Modern Day Warrior,16-9-0,"5' 11""",170 lbs.,"75""",Orthodox,"Apr 25, 1988"
86,Takeshi Inoue,Lion,20-5-0,"5' 8""",145 lbs.,--,,"Mar 18, 1980"
87,Ken Kaneko,,0-3-0,"6' 0""",161 lbs.,--,Orthodox,--
88,Wagnney Fabiano,The Silencer,14-3-0,"5' 6""",145 lbs.,"69""",Southpaw,"Jul 14, 1975"
89,Pete Sabala,,3-13-0,--,135 lbs.,--,,--
90,Benji Radach,Razor,21-7-0 (1 NC),"5' 10""",185 lbs.,--,Orthodox,"Apr 05, 1979"
91,David Rasouli,,2-3-0,"5' 7""",155 lbs.,--,,--
92,Eduardo Dantas,Dudu,20-4-0,"5' 10""",135 lbs.,--,,"Feb 03, 1989"
93,Bartosz Fabinski,The Butcher,14-3-0,"6' 0""",170 lbs.,"75""",Orthodox,"Apr 26, 1986"
94,Aaron Lanfranco,,5-1-0,--,155 lbs.,--,,"Aug 26, 1986"
95,Jose Palacios,,3-2-0,"5' 9""",145 lbs.,--,Orthodox,--
96,Gasan Umalatov,Cobra,15-5-1,"5' 11""",170 lbs.,"71""",Orthodox,"Sep 11, 1982"
97,Marvin Eastman,The Beastman,17-14-1,"5' 9""",185 lbs.,"73""",Orthodox,"Jun 08, 1971"
98,Vincent Eazelle,The Real Deal,9-2-0,"5' 11""",155 lbs.,--,,"Dec 07, 1980"
99,Icho Larenas,,5-4-0,"6' 3""",235 lbs.,--,Orthodox,"Mar 12, 1980"
100,Jessica Aguilar,Jag,20-7-0,"5' 3""",115 lbs.,"63""",Orthodox,"May 08, 1982"
101,Caio Magalhaes,Hellboy,9-3-0,"6' 1""",185 lbs.,"73""",Orthodox,"Dec 14, 1987"
102,Humberto Bandenay,,14-6-0 (1 NC),"5' 11""",145 lbs.,--,Southpaw,"Sep 04, 1994"
103,Cyrillo Padilha,,3-3-0,"5' 11""",155 lbs.,--,,"Jan 23, 1978"
104,Chris Camozzi,,24-13-0,"6' 2""",185 lbs.,"76""",Orthodox,"Nov 20, 1986"
105,Jose Landi-Jons,Pele,27-14-0,"5' 11""",170 lbs.,--,Orthodox,"Sep 09, 1973"
106,Brodie Farber,,14-6-0,"6' 1""",170 lbs.,--,Orthodox,"Jul 05, 1980"
107,Koji Oishi,,21-8-8,"5' 8""",170 lbs.,--,Orthodox,"May 31, 1977"
108,Ryan Janes,,10-3-0,"6' 3""",185 lbs.,"76""",Orthodox,"Aug 22, 1981"
109,Henrique da Silva,Frankenstein,14-5-0,"6' 3""",205 lbs.,"76""",Orthodox,"Sep 01, 1989"
110,Vinicius Queiroz,Spartan,5-2-0,"6' 7""",220 lbs.,--,,"Aug 29, 1983"
111,Javier Vazquez,Showtime,16-5-0,"5' 7""",145 lbs.,"69""",Southpaw,"Jul 16, 1977"
112,Mostapha Al-Turk,,6-6-0,"6' 2""",245 lbs.,"77""",Orthodox,"Jul 14, 1973"
113,Justin Gaethje,The Highlight,19-2-0,"5' 11""",155 lbs.,"70""",Orthodox,"Nov 14, 1988"
114,Jon Madsen,,7-1-0,"6' 0""",240 lbs.,"72""",Orthodox,"Feb 12, 1980"
115,Rani Yahya,,26-10-0 (1 NC),"5' 6""",135 lbs.,"67""",Orthodox,"Sep 12, 1984"
116,Hisaki Kato,,8-2-0,"6' 0""",185 lbs.,--,,"Sep 17, 1982"
117,Montel Jackson,Quik,7-1-0,"5' 10""",135 lbs.,"75""",Southpaw,"Apr 24, 1992"
118,Ross Ebanez,The Boss,20-8-0 (3 NC),"5' 9""",154 lbs.,--,Southpaw,"May 18, 1975"
119,Lionel Lanham,,3-1-0,--,205 lbs.,--,,"Aug 31, 1980"
120,Jason MacDonald,The Athlete,26-16-0,"6' 3""",185 lbs.,"80""",Orthodox,"Jun 03, 1975"
121,Kevin Haley,The North Woods Nightmare,6-4-0,"6' 2""",205 lbs.,--,,--
122,Yoshihiro Akiyama,,14-6-0 (2 NC),"5' 10""",170 lbs.,"73""",Orthodox,"Jul 29, 1975"
123,Ismail Naurdiev,The Austrian Wonderboy,17-2-0,"6' 0""",170 lbs.,--,,"Aug 18, 1996"
124,Wu Yanan,Mulan,10-2-0,"5' 8""",125 lbs.,"66""",Orthodox,"Apr 18, 1996"
125,Marcos Galvao,Louro,11-5-1,"5' 7""",135 lbs.,--,Orthodox,"Jun 23, 1981"
126,Marcelo Aguiar,,2-3-1,"5' 10""",170 lbs.,--,Orthodox,--
127,Brandon Gaines,,5-16-0,"6' 3""",185 lbs.,--,,--
128,Te Edwards,Tango,6-3-0,"5' 8""",155 lbs.,"72""",Orthodox,"Sep 11, 1990"
129,Eduardo Pamplona,,15-3-0,"5' 11""",170 lbs.,--,,"Feb 20, 1973"
130,Calvin Kattar,The Boston Finisher,19-3-0,"5' 11""",145 lbs.,"72""",Orthodox,"Mar 26, 1988"
131,Brad Katona,Superman,9-0-0,"5' 6""",135 lbs.,"65""",Orthodox,"Dec 19, 1991"
132,Makoto Takimoto,,6-5-0,"5' 7""",205 lbs.,--,Southpaw,"Dec 08, 1979"
133,Hiroko Yamanaka,Cat's Eye,12-3-0 (1 NC),"5' 11""",135 lbs.,--,,"Oct 24, 1978"
134,Oluwale Bamgbose,Holy War Angel,6-4-0,"5' 11""",185 lbs.,"78""",Switch,"Aug 04, 1987"
135,Kevin Ferguson,Kimbo Slice,5-2-0 (1 NC),"6' 2""",235 lbs.,--,Orthodox,"Feb 08, 1974"
136,Rousimar Palhares,Toquinho,24-5-0,"5' 8""",170 lbs.,"71""",Orthodox,"Feb 26, 1980"
137,Linton Vassell,The Swarm,18-5-0 (1 NC),"6' 4""",205 lbs.,--,,"Jun 03, 1983"
138,Danny Abbadi,The Assassin,4-6-0,"5' 11""",155 lbs.,--,Orthodox,"Jul 03, 1983"
139,Travis Galbraith,The Gladiator,18-7-0,"6' 0""",170 lbs.,--,Orthodox,"May 18, 1981"
140,Hitomi Akano,Girlfight Monster,18-8-0,"5' 4""",135 lbs.,--,Southpaw,"Jul 27, 1974"
141,Damon Jackson,The Leech,9-1-1 (1 NC),"5' 11""",145 lbs.,"71""",Switch,"Aug 08, 1988"
142,Alexandre Ferreira,Cacareco,18-6-0,"5' 7""",205 lbs.,--,Orthodox,"Apr 25, 1979"
143,Steve Hadsel,,3-0-0,"5' 8""",170 lbs.,--,,--
144,Greg Nagy,,1-3-0,"6' 1""",210 lbs.,--,Orthodox,"Oct 18, 1983"
145,Paul Varelans,The Polar Bear,9-9-0,"6' 8""",300 lbs.,--,Orthodox,--
146,Saul Elizondo,,6-8-0,"5' 7""",135 lbs.,--,,"Jul 17, 1985"
147,Osamu Tachihikari,,0-4-0,"6' 5""",300 lbs.,--,Orthodox,--
148,Yuri Vaulin,,0-1-0,"6' 4""",197 lbs.,--,Southpaw,--
149,Virgil Zwicker,RezDog,14-4-1,"6' 2""",205 lbs.,"74""",,"Jun 26, 1982"
150,Antonio Banuelos,,19-7-1,"5' 5""",135 lbs.,"63""",Orthodox,"Sep 23, 1979"
151,David Zawada,Sagat,16-5-0,"6' 0""",170 lbs.,"75""",Orthodox,"Aug 01, 1990"
152,Tony Halme,,0-4-0,"6' 3""",300 lbs.,--,Orthodox,"Jan 06, 1963"
153,Georgi Karakhanyan,Insane,24-4-1,"5' 8""",145 lbs.,--,,"May 29, 1985"
154,Jordan Radev,,23-5-0,"5' 7""",185 lbs.,--,Southpaw,"Sep 28, 1976"
155,Seth Baczynski,The Polish Pistola,18-11-0,"6' 3""",170 lbs.,"74""",Orthodox,"Oct 26, 1981"
156,Charlie Valencia,,12-7-0,"5' 3""",135 lbs.,"64""",Orthodox,"Oct 31, 1974"
157,Bec Rawlings,Rowdy,7-8-0,"5' 6""",125 lbs.,"64""",Orthodox,"Feb 11, 1989"
158,Brennan Ward,The Irish Bad Boy,14-5-0,"5' 10""",170 lbs.,"71""",,"Jun 28, 1988"
159,Sirwan Kakai,Zohan,12-3-0,"5' 5""",135 lbs.,"66""",Orthodox,"Oct 03, 1989"
160,Kazuhiro Nakamura,Kaz,15-11-0,"5' 11""",205 lbs.,"70""",Orthodox,"Jul 16, 1979"
161,Nordine Taleb,,14-6-0,"6' 1""",170 lbs.,"74""",Orthodox,"Jun 10, 1981"
162,Todd Lally,,2-1-0,"5' 7""",145 lbs.,--,Orthodox,--
163,Frank Camacho,The Crank,21-7-0,"5' 10""",170 lbs.,"73""",Orthodox,"May 18, 1989"
164,Hussain Rasouli,,2-3-0,"5' 6""",135 lbs.,--,,--
165,Clayton MacFarlane,,4-1-0,--,170 lbs.,--,,--
166,Joe Pardo,,4-6-0,"6' 1""",210 lbs.,--,Southpaw,--
167,Ricardo Palacios,El Gallero,9-1-0,"5' 6""",145 lbs.,--,Orthodox,"Jul 05, 1987"
168,Ryan Quinn,,13-7-1,"5' 8""",145 lbs.,--,,--
169,Ariel Gandulla,,6-6-0 (1 NC),"5' 11""",205 lbs.,--,Orthodox,"May 07, 1968"
170,Sean Gannon,The Cannon,2-1-0,"6' 3""",265 lbs.,--,Southpaw,--
171,Uriah Hall,Prime Time,15-9-0,"6' 0""",185 lbs.,"79""",Orthodox,"Jul 31, 1984"
172,Richard Walsh,Filthy Rich,9-6-0,"6' 0""",170 lbs.,"73""",,"Dec 01, 1988"
173,Hector Urbina,El Toro,25-10-1,"5' 11""",170 lbs.,"73""",Orthodox,"Sep 17, 1987"
174,Eric Irvin,,11-4-0,"5' 8""",155 lbs.,--,,"Jan 10, 1986"
175,Kamaru Usman,The Nigerian Nightmare,14-1-0,"6' 0""",170 lbs.,"76""",Switch,"May 11, 1987"
176,Nicolas Dalby,Sharpshooter,14-2-1,"5' 11""",170 lbs.,"74""",Orthodox,"Nov 16, 1984"
177,Brad Imes,Hillbilly Heartthrob,13-7-0,"6' 7""",265 lbs.,--,Orthodox,"Mar 13, 1977"
178,Michal Oleksiejczuk,Lord,12-2-0 (1 NC),"6' 0""",205 lbs.,"74""",Southpaw,"Feb 22, 1995"
179,Marcos da Matta,Parrumpinha,8-2-0,"5' 4""",145 lbs.,--,,"Mar 18, 1973"
180,Josh Paiva,,8-2-0,"5' 6""",125 lbs.,--,,"Apr 05, 1991"
181,Brandon Halsey,Bull,9-3-0,"6' 0""",185 lbs.,--,,"Sep 16, 1986"
182,Mitch Gagnon,,12-4-0,"5' 5""",135 lbs.,"65""",Southpaw,"Oct 10, 1984"
183,Issei Tamura,,7-4-0,"5' 5""",135 lbs.,"63""",Orthodox,"Mar 12, 1984"
184,Kazushi Sakuraba,The Gracie Hunter,26-16-1 (2 NC),"6' 0""",185 lbs.,--,Southpaw,"Jul 14, 1969"
185,Priscila Cachoeira,Pedrita,8-1-0,"5' 7""",125 lbs.,"65""",Orthodox,"Aug 19, 1988"
186,Lando Vannata,Groovy,10-3-2,"5' 9""",155 lbs.,"71""",Orthodox,"Mar 14, 1992"
187,Paul Daley,Semtex,31-11-2,"5' 9""",170 lbs.,"76""",Orthodox,"Feb 21, 1983"
188,Richie Vaculik,Vas,10-5-0,"5' 6""",125 lbs.,"69""",Orthodox,"Jun 19, 1983"
189,Tim Hague,The Trashing Machine,13-5-0,"6' 4""",260 lbs.,"76""",Orthodox,"May 09, 1983"
190,Josh Janousek,,8-1-0,"5' 11""",185 lbs.,"73""",Orthodox,"Sep 25, 1980"
191,Asbel Cancio,,0-1-0,"5' 10""",225 lbs.,--,,--
192,Elizeu Zaleski dos Santos,Capoeira,20-5-0,"5' 11""",170 lbs.,"73""",Orthodox,"Dec 11, 1986"
193,Yasuhito Namekawa,,25-16-4,"5' 9""",205 lbs.,--,Orthodox,"Oct 27, 1974"
194,Geza Kalman,,4-9-0,"6' 1""",200 lbs.,--,,--
195,Anton Zafir,The Professor,7-3-0,"5' 11""",170 lbs.,"72""",Orthodox,"May 10, 1987"
196,Anthony Adams,Sugafoot,7-1-0,"6' 0""",185 lbs.,"77""",Orthodox,"Jan 13, 1988"
197,Tony Ferguson,El Cucuy,25-3-0,"5' 11""",155 lbs.,"76""",Orthodox,"Feb 12, 1984"
198,Cody East,The Freight Train,12-3-0,"6' 3""",245 lbs.,"74""",Orthodox,"Jun 29, 1988"
